model_name,mask_name,mask_x,mask_y,component_x,component_y,pixel_distance,norm_distance,prediction_area,gt_area,component_area,component_relative_area,component_intersection,component_union,component_iou,component_pw_recall,component_pw_precision,metric,threshold_pw,dice,fpr,dice_joint,component_precision_joint,component_recall_joint,relative_area_to_gt
8s,0.10621.jpg,522.0,526.5,836.0,596.0,321.59951803446467,3.80209607189529,8381.0,6818,1.0,0.00011931750387781887,0.0,6819.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.00013157894736842105,0.0,0.0,0.0,0.00014667057788207686
8s,0.10621.jpg,522.0,526.5,517.7091716386847,519.5730539753018,8.148238414243277,0.0963321881108684,8381.0,6818,7207.0,0.8599212504474406,5928.0,8097.0,0.7321230085216747,0.8694631856849516,0.8225336478423755,CORRECT_DETECTION,0.1,0.8453475935828877,,0.8453475935828877,0.8225336478423755,0.8694631856849516,1.0570548547961278
8s,0.10189.jpg,523.5,509.5,525.1753155680225,513.0774894810659,3.9503307759724917,0.07876708986605599,2852.0,2556,2852.0,1.0,2445.0,2963.0,0.8251771852851839,0.9565727699530516,0.8572931276297335,CORRECT_DETECTION,0.1,0.904215976331361,,0.904215976331361,0.8572931276297335,0.9565727699530516,1.1158059467918622
8s,0.10523.jpg,530.0,471.0,527.0685944748211,479.00039852704407,8.520534897797098,0.0236405027830235,62731.0,53163,62731.0,1.0,53111.0,62783.0,0.8459455585110619,0.9990218761168482,0.8466467934514036,CORRECT_DETECTION,0.1,0.9165444285295185,,0.9165444285295185,0.8466467934514036,0.9990218761168482,1.1799747944999341
8s,0.10441.jpg,632.0,504.0,631.9395056885053,502.6291094546881,1.3722246350174605,0.011240917823261969,12745.0,11104,12745.0,1.0,11103.0,12746.0,0.8710968146869607,0.9999099423631124,0.8711651628089447,CORRECT_DETECTION,0.1,0.931108222566984,,0.931108222566984,0.8711651628089447,0.9999099423631124,1.1477845821325647
8s,0.10119.jpg,525.5,514.5,525.7012612612613,515.9005405405404,1.414927524992727,0.03098778262983559,2775.0,2183,2775.0,1.0,2182.0,2776.0,0.7860230547550432,0.999541914796152,0.7863063063063063,CORRECT_DETECTION,0.1,0.8801936264622832,,0.8801936264622832,0.7863063063063063,0.999541914796152,1.271186440677966
8s,0.10063.jpg,651.5,516.5,571.9937106918239,604.0922431865827,118.294763645788,3.972585346313777,4561.0,780,477.0,0.10458232843674632,0.0,1257.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.16397387418356826,0.0,0.0,0.0,0.6115384615384616
8s,0.10063.jpg,651.5,516.5,648.1701762977473,551.914054848188,35.57025452085708,1.1945234727153498,4561.0,780,4084.0,0.8954176715632537,775.0,4089.0,0.1895328931279041,0.9935897435897436,0.1897649363369246,CORRECT_DETECTION,0.1,0.31866776315789475,,0.31866776315789475,0.1897649363369246,0.9935897435897436,5.235897435897436
8s,0.10087.jpg,418.5,591.0,412.4872870896075,596.4991360157985,8.148203081848973,0.15736872904858532,4051.0,2479,4051.0,1.0,2475.0,4055.0,0.6103575832305795,0.9983864461476402,0.6109602567267342,CORRECT_DETECTION,0.1,0.7580398162327718,,0.7580398162327718,0.6109602567267342,0.9983864461476402,1.6341266639774104
8s,0.10378.jpg,517.0,492.5,518.2189513331351,491.1822777282188,1.7950583105013318,0.01289293393379233,10089.0,8610,10089.0,1.0,8553.0,10146.0,0.8429923122412774,0.9933797909407666,0.8477549806720189,CORRECT_DETECTION,0.1,0.9148082785175676,,0.9148082785175676,0.8477549806720189,0.9933797909407666,1.1717770034843205
